"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1984","Total","January","Data tabulated by year of occurrence","Final figure, complete","1986","292200",""
"United States of America","1984","Total","February","Data tabulated by year of occurrence","Final figure, complete","1986","281564",""
"United States of America","1984","Total","March","Data tabulated by year of occurrence","Final figure, complete","1986","303970",""
"United States of America","1984","Total","April","Data tabulated by year of occurrence","Final figure, complete","1986","285823",""
"United States of America","1984","Total","May","Data tabulated by year of occurrence","Final figure, complete","1986","299395",""
"United States of America","1984","Total","June","Data tabulated by year of occurrence","Final figure, complete","1986","298889",""
"United States of America","1984","Total","July","Data tabulated by year of occurrence","Final figure, complete","1986","325516",""
"United States of America","1984","Total","August","Data tabulated by year of occurrence","Final figure, complete","1986","335222",""
"United States of America","1984","Total","September","Data tabulated by year of occurrence","Final figure, complete","1986","326454",""
"United States of America","1984","Total","October","Data tabulated by year of occurrence","Final figure, complete","1986","321371",""
"United States of America","1984","Total","November","Data tabulated by year of occurrence","Final figure, complete","1986","296816",""
"United States of America","1984","Total","December","Data tabulated by year of occurrence","Final figure, complete","1986","301921",""
"United States of America","1983","Total","January","Data tabulated by year of occurrence","Final figure, complete","1986","297750",""
"United States of America","1983","Total","February","Data tabulated by year of occurrence","Final figure, complete","1986","276981",""
"United States of America","1983","Total","March","Data tabulated by year of occurrence","Final figure, complete","1986","310928",""
"United States of America","1983","Total","April","Data tabulated by year of occurrence","Final figure, complete","1986","293920",""
"United States of America","1983","Total","May","Data tabulated by year of occurrence","Final figure, complete","1986","303224",""
"United States of America","1983","Total","June","Data tabulated by year of occurrence","Final figure, complete","1986","303957",""
"United States of America","1983","Total","July","Data tabulated by year of occurrence","Final figure, complete","1986","317969",""
"United States of America","1983","Total","August","Data tabulated by year of occurrence","Final figure, complete","1986","323960",""
"United States of America","1983","Total","September","Data tabulated by year of occurrence","Final figure, complete","1986","314468",""
"United States of America","1983","Total","October","Data tabulated by year of occurrence","Final figure, complete","1986","305777",""
"United States of America","1983","Total","November","Data tabulated by year of occurrence","Final figure, complete","1986","290944",""
"United States of America","1983","Total","December","Data tabulated by year of occurrence","Final figure, complete","1986","299055",""
